time,period,ips,ops,eps,capacity,actions,ipa,opa,epa,mininal
09:00,5,2,1,0,3,(2 1 0),2,1,0,"$40,92"
09:00,5,2,1,1,3,(1 1 1;2 0 1),1,1,1,"$43,65"
09:00,5,2,2,0,3,(1 2 0;2 1 0),1,2,0,"$57,29"
09:00,5,2,2,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$60,02"
09:00,5,2,3,0,3,(0 3 0;1 2 0;2 1 0),0,3,0,"$73,66"
09:00,5,2,3,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$79,12"
09:00,5,2,4,0,3,(0 3 0;1 2 0;2 1 0),0,3,0,"$92,76"
09:00,5,2,4,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$98,21"
09:00,5,2,5,0,3,(0 3 0;1 2 0;2 1 0),0,3,0,"$111,85"
09:00,5,2,5,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$117,31"
09:00,5,2,6,0,3,(0 3 0;1 2 0;2 1 0),0,3,0,"$130,95"
09:00,5,2,6,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$139,13"
09:00,5,2,7,0,3,(0 3 0;1 2 0;2 1 0),0,3,0,"$152,77"
09:00,5,2,7,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$160,96"
09:00,5,2,8,0,3,(0 3 0;1 2 0;2 1 0),0,3,0,"$174,60"
09:00,5,2,8,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$185,51"
09:00,5,3,0,0,3,(3 0 0),3,0,0,"$40,92"
09:00,5,3,0,1,3,(2 0 1),2,0,1,"$43,65"
09:00,5,3,1,0,3,(2 1 0;3 0 0),2,1,0,"$57,29"
09:00,5,3,1,1,3,(1 1 1;2 0 1),1,1,1,"$60,02"
09:00,5,3,2,0,3,(1 2 0;2 1 0;3 0 0),1,2,0,"$73,66"
09:00,5,3,2,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$79,12"
09:00,5,3,3,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$92,76"
09:00,5,3,3,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$98,21"
09:00,5,3,4,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$111,85"
09:00,5,3,4,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$117,31"
09:00,5,3,5,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$130,95"
09:00,5,3,5,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$139,13"
09:00,5,3,6,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$152,77"
09:00,5,3,6,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$160,96"
09:00,5,3,7,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$174,60"
09:00,5,3,7,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$185,51"
09:00,5,4,0,0,3,(3 0 0),3,0,0,"$57,29"
09:00,5,4,0,1,3,(2 0 1),2,0,1,"$60,02"
09:00,5,4,1,0,3,(2 1 0;3 0 0),2,1,0,"$73,66"
09:00,5,4,1,1,3,(1 1 1;2 0 1),1,1,1,"$79,12"
09:00,5,4,2,0,3,(1 2 0;2 1 0;3 0 0),1,2,0,"$92,76"
09:00,5,4,2,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$98,21"
09:00,5,4,3,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$111,85"
09:00,5,4,3,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$117,31"
09:00,5,4,4,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$130,95"
09:00,5,4,4,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$139,13"
09:00,5,4,5,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$152,77"
09:00,5,4,5,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$160,96"
09:00,5,4,6,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$174,60"
09:00,5,4,6,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$185,51"
09:00,5,5,0,0,3,(3 0 0),3,0,0,"$73,66"
09:00,5,5,0,1,3,(2 0 1),2,0,1,"$79,12"
09:00,5,5,1,0,3,(2 1 0;3 0 0),2,1,0,"$92,76"
09:00,5,5,1,1,3,(1 1 1;2 0 1),1,1,1,"$98,21"
09:00,5,5,2,0,3,(1 2 0;2 1 0;3 0 0),1,2,0,"$111,85"
09:00,5,5,2,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$117,31"
09:00,5,5,3,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$130,95"
09:00,5,5,3,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$139,13"
09:00,5,5,4,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$152,77"
09:00,5,5,4,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$160,96"
09:00,5,5,5,0,3,(0 3 0;1 2 0;2 1 0;3 0 0),0,3,0,"$174,60"
09:00,5,5,5,1,3,(0 2 1;1 1 1;2 0 1),0,2,1,"$185,51"
09:15,6,0,0,0,2,(0 0 0),0,0,0,"$0,00"
09:15,6,0,0,1,2,(0 0 1),0,0,1,"$0,00"
09:15,6,0,1,0,2,(0 1 0),0,1,0,"$16,37"
09:15,6,0,1,1,2,(0 1 1),0,1,1,"$16,37"
09:15,6,0,2,0,2,(0 2 0),0,2,0,"$32,74"
09:15,6,0,2,1,2,(0 1 1),0,1,1,"$35,47"
09:15,6,0,3,0,2,(0 2 0),0,2,0,"$51,83"
09:15,6,0,3,1,2,(0 1 1),0,1,1,"$54,56"
09:15,6,0,4,0,2,(0 2 0),0,2,0,"$70,93"
09:15,6,0,4,1,2,(0 1 1),0,1,1,"$73,66"
09:15,6,0,5,0,2,(0 2 0),0,2,0,"$90,03"
09:15,6,0,5,1,2,(0 1 1),0,1,1,"$95,48"
09:15,6,0,6,0,2,(0 2 0),0,2,0,"$111,85"
09:15,6,0,6,1,2,(0 1 1),0,1,1,"$117,31"
09:15,6,0,7,0,2,(0 2 0),0,2,0,"$133,68"
09:15,6,0,7,1,2,(0 1 1),0,1,1,"$141,86"
09:15,6,0,8,0,2,(0 2 0),0,2,0,"$158,23"
09:15,6,0,8,1,2,(0 1 1),0,1,1,"$166,42"
09:15,6,0,9,0,2,(0 2 0),0,2,0,"$182,78"
09:15,6,0,9,1,2,(0 1 1),0,1,1,"$190,97"
09:15,6,0,10,0,2,(0 2 0),0,2,0,"$207,34"
09:15,6,0,10,1,2,(0 1 1),0,1,1,"$218,25"
09:15,6,0,11,0,2,(0 2 0),0,2,0,"$234,62"
09:15,6,0,11,1,2,(0 1 1),0,1,1,"$245,53"
09:15,6,1,0,0,2,(1 0 0),1,0,0,"$16,37"
09:15,6,1,0,1,2,(1 0 1),1,0,1,"$16,37"
09:15,6,1,1,0,2,(1 1 0),1,1,0,"$32,74"
09:15,6,1,1,1,2,(0 1 1;1 0 1),0,1,1,"$35,47"
09:15,6,1,2,0,2,(0 2 0;1 1 0),0,2,0,"$51,83"
09:15,6,1,2,1,2,(0 1 1;1 0 1),0,1,1,"$54,56"
09:15,6,1,3,0,2,(0 2 0;1 1 0),0,2,0,"$70,93"
09:15,6,1,3,1,2,(0 1 1;1 0 1),0,1,1,"$73,66"
09:15,6,1,4,0,2,(0 2 0;1 1 0),0,2,0,"$90,03"
